51s of 62.78s total (81.24%)
         0     0% 81.24%      5.93s  9.45%  io/ioutil.ReadDir
         0     0% 81.24%      2.96s  4.71%  io/ioutil.ReadFile
         0     0% 81.24%      0.34s  0.54%  os.(*File).Close
         0     0% 81.24%      5.37s  8.55%  os.(*File).Readdir
         0     0% 81.24%      0.84s  1.34%  os.(*File).Readdirnames
         0     0% 81.24%      0.84s  1.34%  os.(*File).readdirnames
         0     0% 81.24%      4.05s  6.45%  os.Lstat
         0     0% 81.24%      1.99s  3.17%  os.Open
         0     0% 81.24%      2.09s  3.33%  os.Stat
         0     0% 81.24%      0.91s  1.45%  reflect.DeepEqual
         0     0% 81.24%      1.84s  2.93%  runtime.(*mcache).nextFree
         0     0% 81.24%      1.43s  2.28%  runtime.(*mcache).refill
         0     0% 81.24%      0.95s  1.51%  runtime.(*mcentral).grow
         0     0% 81.24%      0.47s  0.75%  runtime._System
         0     0% 81.24%      0.47s  0.75%  runtime.copystack
         0     0% 81.24%      1.42s  2.26%  runtime.gcAssistAlloc
         0     0% 81.24%      1.39s  2.21%  runtime.gcAssistAlloc.func1
         0     0% 81.24%      1.39s  2.21%  runtime.gcAssistAlloc1
         0     0% 81.24%     14.84s 23.64%  runtime.gcBgMarkWorker
         0     0% 81.24%     13.10s 20.87%  runtime.gcBgMarkWorker.func2
         0     0% 81.24%     61.16s 97.42%  runtime.goexit
         0     0% 81.24%      0.76s  1.21%  runtime.gosweepone
         0     0% 81.24%      0.67s  1.07%  runtime.gosweepone.func1
         0     0% 81.24%      0.57s  0.91%  runtime.largeAlloc
         0     0% 81.24%      0.57s  0.91%  runtime.mallocgc.func1
         0     0% 81.24%      1.58s  2.52%  runtime.markroot.func1
         0     0% 81.24%      0.34s  0.54%  runtime.morestack
         0     0% 81.24%      0.34s  0.54%  runtime.newstack
         0     0% 81.24%      0.32s  0.51%  sort.quickSort_func
         0     0% 81.24%      0.36s  0.57%  strings.Join
         0     0% 81.24%      1.19s  1.90%  syscall.Read
